"Date","ho00000503","ho00000541","ho00000542","ho00000548","ho00000554","ho00000635","ho00000648"
"1980-01-01",0,0.4,18.4,0,0,0,0
"1980-01-02",0,0,3,0,0,0,0
"1980-01-03",3.4,0,1,0,0,0,4.2
"1980-01-04",0,3.9,0.3,0,2,0,0
"1980-01-05",0,0,1.4,0,0,0,0
"1980-01-06",0,0,0,0,0,1.5,0
"1980-01-07",1.7,10.5,0.3,0,0,0,0
"1980-01-08",10.2,1.3,3.5,0,0,0,2
"1980-01-09",6.8,0,3,0,0,0.8,0
"1980-01-10",3.2,0,0,0,0,0.3,0
"1980-01-11",17.1,0,0,0,0,3,5
"1980-01-12",3.2,0,0,0,5,0,27
"1980-01-13",4,0,1.7,0,0,2.3,0
"1980-01-14",1.1,6,0.7,0,10,1,0
"1980-01-15",0,0,7.7,0,5,2.3,9.4
"1980-01-16",2.3,4.2,0.2,0,3,1.8,0
"1980-01-17",7.5,0.3,8.5,0,0,5.1,4
"1980-01-18",0,2.1,0,0,0,0,0
"1980-01-19",0,4.7,3.3,0,0,0,0
"1980-01-20",7.7,5.1,6.6,0,0,2.3,0
"1980-01-21",3.8,1.8,0.6,3.9,0,0,0
"1980-01-22",0,0.5,1.4,1,0,9.7,19.8
"1980-01-23",7.6,0.4,13,0.9,6,0.8,0
"1980-01-24",13.3,0,0.6,1.8,6,1.8,2
"1980-01-25",2.4,7.3,1,0,3,0.3,13
"1980-01-26",22.9,11,15,4.8,4,7.6,27
"1980-01-27",3.4,12,5.3,0.8,2,2.8,0
"1980-01-28",2.3,0,19.8,4.8,2,16.5,0
"1980-01-29",22.7,0,0.3,0,0,0,0
"1980-01-30",3.8,0,0,0,0,0,0
"1980-01-31",0,0,0,0,0,0,0
"1980-02-01",10.3,0,0,0,4,0,0
"1980-02-02",22,2,0,0,0,0.8,0
"1980-02-03",8.5,5.2,1.3,0,4,4.1,16.9
"1980-02-04",1.5,8.4,9.2,1.4,0,0,6
"1980-02-05",0,3.7,3.2,0.6,0,0,0
"1980-02-06",1.8,5.9,3.1,0,9,4.6,2.1
