"Fecha","ho00000503","ho00000541","ho00000542","ho00000548","ho00000554","ho00000635","ho00000648"
"1980-01-01",17.1,16.2,17.3,20.9,NA,20.7,NA
"1980-01-02",17.1,16.5,17,20.8,NA,20.6,NA
"1980-01-03",18.5,15.6,16.8,21.3,NA,23,NA
"1980-01-04",19.4,16.5,17.2,21.9,NA,23,NA
"1980-01-05",19.2,18.1,17.5,22.5,NA,24.3,NA
"1980-01-06",19.2,17.3,18.2,22,NA,21.5,NA
"1980-01-07",17.6,17.4,18.3,21.9,NA,22.4,NA
"1980-01-08",15.9,17.5,17.2,20.9,NA,21.1,NA
"1980-01-09",15.7,14.1,16.9,20.1,NA,21,NA
"1980-01-10",19.4,15.5,17.4,21.8,NA,23.4,NA
"1980-01-11",21.5,16.2,17,22.7,NA,25.5,NA
"1980-01-12",17.8,13.2,16.4,20.7,NA,23.3,NA
"1980-01-13",17.8,13.7,15.9,20.4,NA,22.3,NA
"1980-01-14",12.8,13.7,15,17.8,NA,16.8,NA
"1980-01-15",16.4,15.1,16.7,20.1,NA,20,NA
"1980-01-16",17.8,12.9,15.9,19.9,NA,20.9,NA
"1980-01-17",14.8,16.1,16.4,20,NA,20.6,NA
"1980-01-18",17.6,16.5,17.1,20.9,NA,20.3,NA
"1980-01-19",14.5,13.5,16.9,19.4,NA,19.9,NA
"1980-01-20",11,15,16.9,18.3,NA,16.7,NA
"1980-01-21",12.8,17,16.7,19.5,NA,19.3,NA
"1980-01-22",16.6,16.5,18,21.3,NA,22,NA
"1980-01-23",18.3,16.9,18.4,21.7,NA,20.7,NA
"1980-01-24",16.8,17.4,17,20.8,NA,20.4,NA
"1980-01-25",13.8,16.5,16.8,19.8,NA,19.8,NA
"1980-01-26",12.6,16.3,17.9,19.8,NA,19.6,NA
"1980-01-27",17.8,16.2,17.1,21.1,NA,21.5,NA
"1980-01-28",18.1,15.9,17.1,21.2,NA,21.6,NA
"1980-01-29",17.6,16.5,17.3,21.1,NA,20.8,NA
"1980-01-30",21.8,17.4,17.4,22.9,NA,24,NA
"1980-01-31",22.1,17.9,18.3,23.1,NA,22.7,NA
"1980-02-01",23.2,17.4,18.3,23.3,NA,22.7,NA
"1980-02-02",15.4,13.6,16.3,19.3,NA,19.1,NA
"1980-02-03",17.8,14.5,16.4,20.7,NA,22.4,NA
"1980-02-04",18.3,13.6,17.5,20.9,NA,21.7,NA
"1980-02-05",18.5,16.5,16.3,21,NA,21.1,NA
"1980-02-06",21.5,15.7,16,21.5,NA,21.8,NA
"1980-02-07",20.2,15.6,16.3,21.2,NA,21.4,NA
"1980-02-08",11,14.7,16.3,18.2,NA,18,NA
"1980-02-09",19,16.4,16.4,21.1,NA,20.9,NA
"1980-02-10",18.5,16.4,17.1,21.5,NA,22.4,NA
"1980-02-11",18,17.2,17.7,21.5,NA,21.4,NA
"1980-02-12",16.4,14.7,17.7,20.4,NA,19.9,NA
"1980-02-13",20.1,16.1,17.7,22.3,NA,24,NA
"1980-02-14",13.5,17,17.2,19.8,NA,19,NA
"1980-02-15",18.1,17.4,17.1,21.4,NA,21.7,NA
"1980-02-16",11.4,15.6,17.1,19.1,NA,19.9,NA
"1980-02-17",11.2,16.4,17.4,18.8,NA,17,NA
"1980-02-18",12.9,15.6,17.4,19.3,NA,18.4,NA
"1980-02-19",15,14.7,15.6,19.2,NA,19.4,NA
"1980-02-20",16.9,13.8,16.7,19.9,NA,19.4,NA
"1980-02-21",20.1,15.5,16.8,21.3,NA,21.3,NA
"1980-02-22",19.9,15.6,16.6,21.2,NA,21,NA
"1980-02-23",21.5,16.1,17.4,22.2,NA,22,NA
"1980-02-24",18.7,15.4,16.9,21,NA,20.9,NA
"1980-02-25",18.3,15.5,17.2,20.8,NA,20,NA
"1980-02-26",14.7,15.6,16.7,19.5,NA,18.4,NA
"1980-02-27",20.2,16.2,16.9,21.8,NA,22.2,NA
"1980-02-28",20.6,16.8,17.4,22.3,NA,23,NA
"1980-02-29",22.5,18.2,17.2,23,NA,23.4,NA
"1980-03-01",21,17.2,17.1,22.1,NA,23,NA
"1980-03-02",20.3,15.7,16.9,21.5,NA,22.5,NA
"1980-03-03",17.4,14.3,16.9,19.9,NA,18.2,NA
"1980-03-04",18.3,15.3,16.4,20.4,NA,19.6,NA
"1980-03-05",17.5,12.7,16.6,19.6,NA,19,NA
"1980-03-06",18.9,16.9,16.6,20.9,NA,20,NA
"1980-03-07",17.6,18.1,17.1,20.8,NA,17.4,NA
"1980-03-08",16.1,16.3,17.7,20,NA,15.2,NA
"1980-03-09",18.6,17.4,17.6,21.3,NA,18.9,NA
"1980-03-10",18.6,17.4,18.1,21.5,NA,18.6,NA
"1980-03-11",17,17,17.4,20.5,NA,16.6,NA
"1980-03-12",19.9,15.5,19.3,22.2,NA,20.6,NA
"1980-03-13",19.4,18.1,18.4,22.1,NA,19.5,NA
"1980-03-14",18.8,16.4,18.3,21.5,NA,19.2,NA
"1980-03-15",17.2,16.4,16.9,20.2,NA,17.3,NA
"1980-03-16",11.7,19.5,16.9,19.3,NA,16.8,NA
"1980-03-17",15,13.7,17.1,19.7,NA,20.2,NA
"1980-03-18",16.8,12.8,16.6,19.6,NA,19.3,NA
"1980-03-19",14.5,13.6,16.7,18.8,NA,17.2,NA
"1980-03-20",13.5,17.9,17.2,19.7,NA,18,NA
"1980-03-21",15.4,15.6,17.3,19.7,NA,17.5,NA
"1980-03-22",15,15.2,16.3,19.3,NA,17.8,NA
"1980-03-23",14.7,15.4,16.5,19.3,NA,18.1,NA
"1980-03-24",17.6,14.3,19.5,21.1,NA,18.6,NA
"1980-03-25",21.1,16.3,19.7,22.4,NA,19.4,NA
"1980-03-26",11.5,16.5,19.8,19.7,NA,16.4,NA
"1980-03-27",15.2,16.3,18.9,20.4,NA,17.6,NA
"1980-03-28",18.5,15.3,17.9,21.1,NA,19.8,NA
"1980-03-29",19.9,20.5,19.8,23.2,NA,20.3,NA
"1980-03-30",18.3,13.7,18.4,20.9,NA,19.8,NA
"1980-03-31",14.7,16.3,18.3,20,NA,17.5,NA
"1980-04-01",14.8,14.5,16.3,19.2,NA,18.4,NA
"1980-04-02",20.1,16.2,17.1,21.7,NA,21.7,NA
"1980-04-03",20.8,15.9,16.8,21.7,NA,22,NA
"1980-04-04",19.9,15.5,16.7,21.2,NA,21.2,NA
"1980-04-05",19.9,16.5,16.2,21.2,NA,21.1,NA
"1980-04-06",18.7,17.4,17.8,21.8,NA,21.6,NA
"1980-04-07",17.1,17.4,17.6,21.2,NA,21.1,NA
"1980-04-08",20.2,17.1,17.7,22.2,NA,22.2,NA
"1980-04-09",20.2,17.8,17.4,22.4,NA,23.1,NA
"1980-04-10",20.1,15.5,17.1,21.5,NA,21.8,NA
"1980-04-11",18.3,15.5,16.9,20.9,NA,20.9,NA
"1980-04-12",18.7,18.2,16.8,21.7,NA,22.3,NA
"1980-04-13",18.1,14.6,17,20.7,NA,20.7,NA
"1980-04-14",18.1,16.2,17.3,20.9,NA,19.4,NA
"1980-04-15",19.7,19.1,17.9,22.1,NA,20,NA
"1980-04-16",13.5,17,17.8,19.6,NA,17.3,NA
"1980-04-17",18.5,17.8,18.2,21.7,NA,20.3,NA
"1980-04-18",13.5,18,19.3,20.6,NA,18.2,NA
"1980-04-19",11.9,16.4,18.8,19.5,NA,17.2,NA
"1980-04-20",11.5,16.4,19,19.7,NA,18.3,NA
"1980-04-21",15.2,18.9,19.9,21.8,NA,20.4,NA
"1980-04-22",16.8,19.8,18.8,21.9,NA,20.6,NA
"1980-04-23",16.8,16.3,18.7,21.4,NA,21.2,NA
"1980-04-24",14.7,15.6,18.7,20.2,NA,18.2,NA
"1980-04-25",19,17.9,18.5,22.2,NA,21.5,NA
"1980-04-26",16.8,19.2,18.4,21.7,NA,20.7,NA
"1980-04-27",20.1,19.9,18.7,23.1,NA,22.5,NA
"1980-04-28",18.3,17.6,18.4,22,NA,21.7,NA
