"Fecha","ho00000503","ho00000541","ho00000542","ho00000548","ho00000554","ho00000635","ho00000648"
"1980-01-01",10.7,4.9,9.1,9.6,NA,5.6,6.5
"1980-01-02",17.2,6.4,9.1,10.6,NA,10.3,8.9
"1980-01-03",15,2.6,8.1,10.7,NA,6.9,8.4
"1980-01-04",15.2,6.8,10.4,9.6,NA,6.7,10.1
"1980-01-05",19.3,7.1,10.1,9.5,NA,9.7,13.6
"1980-01-06",12.1,8,8.3,9.5,NA,7.2,14
"1980-01-07",15.2,7.2,8,8.5,NA,6.1,11.2
"1980-01-08",9.5,7.2,9,11,NA,4.3,8.9
"1980-01-09",11.9,6.2,8.3,10.1,NA,5.4,8.9
"1980-01-10",8.5,6.5,8.2,9.6,NA,3.1,4.7
"1980-01-11",13.2,6.5,9,9.5,NA,7.5,5.1
"1980-01-12",14.6,5.8,9.8,9.5,NA,5.5,4.7
"1980-01-13",10.7,4.5,9.8,10.3,NA,7.2,6.1
"1980-01-14",15.6,4.3,9.2,9.8,NA,9,11.2
"1980-01-15",13.2,4.6,7.8,11.5,NA,8.4,11.2
"1980-01-16",15.2,4.3,7.8,9.6,NA,8.2,8.4
"1980-01-17",13.8,4.9,7.7,10.6,NA,7.2,10.1
"1980-01-18",10.9,5.8,9.5,11.7,NA,6.5,6.5
"1980-01-19",16,4.5,5.9,11.8,NA,9.2,8.9
"1980-01-20",17,5.5,8.1,10.6,NA,9.1,8.9
"1980-01-21",15.2,6.7,9.9,11.7,NA,9.2,11.2
"1980-01-22",17,7,9.7,12.3,NA,9,11.2
"1980-01-23",12.7,6.5,9.9,13.1,NA,8.1,10.8
"1980-01-24",12.7,9,10.7,11.8,NA,8.2,9.8
"1980-01-25",13.6,8.7,11.3,12.5,NA,9.3,10.3
"1980-01-26",15,7.1,10.5,11.7,NA,9.2,9.4
"1980-01-27",11.3,7.8,10,12.6,NA,8.7,7
"1980-01-28",9.7,6.1,7.3,10.6,NA,6.9,7.5
"1980-01-29",16.8,7,8.4,9.8,NA,8.6,6.5
"1980-01-30",11.3,4.9,8.6,9.5,NA,6.3,8.4
"1980-01-31",12.7,4.8,7.8,11.4,NA,7.1,6.8
"1980-02-01",11.1,7,7.2,9.8,NA,4.4,6.3
"1980-02-02",15,8.1,9.8,9.5,NA,10.2,6.8
"1980-02-03",10.9,5.4,9.6,11,NA,8.6,6.3
"1980-02-04",12.7,6.2,8.7,12.3,NA,8.6,7.2
"1980-02-05",13.2,8.4,9.7,10.7,NA,6.7,7.7
"1980-02-06",10.5,6.8,9.7,9.8,NA,6.5,5.8
"1980-02-07",10.7,6.5,8.1,10.4,NA,5.5,4
"1980-02-08",13.2,6.2,8.2,9.9,NA,8.7,8.4
"1980-02-09",15,6.4,8.1,10.6,NA,8.8,4.9
"1980-02-10",10.3,6.1,7.7,11.5,NA,6.5,9.8
"1980-02-11",13.2,6.5,7.4,11.2,NA,9,11
"1980-02-12",7.4,7,7.3,9.1,NA,4.6,6.8
"1980-02-13",6.6,5.5,6.6,10.3,NA,2.7,6.8
"1980-02-14",9.9,6.4,9.6,11.5,NA,8.5,7.2
"1980-02-15",10.7,7.7,8.8,9.6,NA,8.1,6.8
"1980-02-16",15.2,4.3,6.1,10.1,NA,8.9,7.5
"1980-02-17",9.3,7,8.6,11,NA,6.5,6.8
"1980-02-18",9.5,3.9,8.6,10.7,NA,9.2,7.2
"1980-02-19",15,3.2,7.6,9.6,NA,8.7,6.3
"1980-02-20",10.9,5.9,8.9,11,NA,7.8,8.6
"1980-02-21",11.3,5.8,6.6,11.5,NA,5.8,7.7
"1980-02-22",13.4,4.9,8.6,11.7,NA,7.4,6.8
"1980-02-23",15,4.8,9.6,10.7,NA,8.5,11.5
"1980-02-24",10.9,4.5,7.6,10,NA,6.2,7.7
"1980-02-25",14.8,4.2,9.6,11.3,NA,7.9,7.2
"1980-02-26",12.9,4.3,8.6,12.2,NA,7.3,7.2
"1980-02-27",15,3.5,5.8,11.4,NA,7.9,6.3
"1980-02-28",3.6,6.1,5.6,10.8,NA,5.4,6.3
"1980-02-29",10.7,1.9,4.6,10,NA,5.9,8.2
"1980-03-01",6.5,5.9,4,10.2,NA,7.2,4.7
"1980-03-02",6.7,5.8,4,10.7,NA,6.8,4.7
"1980-03-03",7.3,5.8,3.9,11.1,NA,7.3,5
"1980-03-04",9.6,5.6,8.7,12.1,NA,8.3,6.2
"1980-03-05",7.4,5.1,7,11.1,NA,6.5,5
"1980-03-06",5.4,4.5,6.1,10.3,NA,4.4,3.8
"1980-03-07",7.2,3.6,4.9,10.7,NA,8.4,5.1
"1980-03-08",8.2,4.6,6.3,11.4,NA,8.2,5.6
"1980-03-09",9,7.5,5.7,11.2,NA,9.2,6.1
"1980-03-10",7,5.9,5.5,9.9,NA,7.9,5
"1980-03-11",7.6,7.2,10.1,9.5,NA,7.2,5.1
"1980-03-12",9.3,9.7,9.5,11.4,NA,6.6,5.8
"1980-03-13",8.7,8.3,7.8,11.4,NA,6.8,5.6
"1980-03-14",7.4,7.2,7.8,9.6,NA,7.6,5.1
"1980-03-15",8.5,5.9,8.9,10.6,NA,8.4,5.7
"1980-03-16",15,8.8,10,9.6,NA,9.2,6.9
"1980-03-17",8.3,4.8,7.5,10.9,NA,6.4,5.1
"1980-03-18",8.5,7.2,8.5,9.9,NA,6.6,5
"1980-03-19",10.9,7.5,8.5,10.4,NA,7.7,5.9
"1980-03-20",14.4,8.1,7.7,11.2,NA,8.8,7
"1980-03-21",13.2,7.5,7.5,11.4,NA,8.6,6.7
"1980-03-22",12.5,8.4,8.3,9.6,NA,6.9,5.7
"1980-03-23",16.2,7.5,10.3,10.9,NA,9.7,7.6
"1980-03-24",15.6,10.1,7.4,10.9,NA,8.5,7
"1980-03-25",12.9,7.7,7.5,11,NA,8.5,6.6
"1980-03-26",12.9,5.5,10.3,9.8,NA,7.2,6.1
"1980-03-27",14.4,7.8,8,11.2,NA,6.1,6.3
"1980-03-28",10.5,4.9,7,10.1,NA,7.9,5.6
"1980-03-29",15,8.1,9.5,10.6,NA,7.5,6.7
"1980-03-30",16.4,6.8,8,9.5,NA,8.1,6.7
"1980-03-31",12.7,8.4,8.3,10.3,NA,9,6.5
"1980-04-01",10.7,8.7,8.6,9.7,NA,7,4.4
"1980-04-02",10.3,8.8,9.1,9.4,NA,5.8,5.4
"1980-04-03",5,5.2,6.5,11.1,NA,3,3
"1980-04-04",12.5,4.5,4.6,10.3,NA,7.8,3
"1980-04-05",13.2,4.6,6.6,10.7,NA,6.8,7.7
"1980-04-06",3,2.6,2.6,10.3,NA,2.1,-1.2
"1980-04-07",1.7,3,3.6,10.5,NA,0.9,-3.5
"1980-04-08",4.4,3,5.4,10.8,NA,2.2,1.2
"1980-04-09",2.8,4.3,5.1,9.1,NA,1.8,0.2
"1980-04-10",4,6.4,8.6,10.7,NA,2.4,-1.2
"1980-04-11",4.6,4.8,6.8,11.9,NA,2.4,3
"1980-04-12",5.2,6.1,6.8,8.7,NA,3.6,3.5
"1980-04-13",4.8,3.2,8.1,10.3,NA,2,1.6
"1980-04-14",5,4.1,6.4,9.5,NA,5,3
"1980-04-15",8.9,6.4,6.7,9.9,NA,7.7,4.4
"1980-04-16",15,7.8,9.1,10.5,NA,8.1,8.2
"1980-04-17",8.7,9,6.6,10.8,NA,6.9,7.2
"1980-04-18",4.4,9.3,8.6,9.7,NA,3.4,3.5
"1980-04-19",11.1,8.1,8.6,11.3,NA,5.6,3.5
"1980-04-20",2.6,9.3,8.6,9.2,NA,3.2,4
"1980-04-21",0.7,5.2,6.4,9.3,NA,3.1,8.2
"1980-04-22",2.4,5.2,5.6,9.3,NA,-0.1,5.4
"1980-04-23",1.1,5.2,5.7,10.6,NA,0.5,3.5
"1980-04-24",4.8,4.6,5.6,9.1,NA,2.7,2.1
"1980-04-25",10.9,7.2,5.6,9.6,NA,5.9,2.6
"1980-04-26",4.4,5.2,5.7,9.3,NA,1.6,1.2
"1980-04-27",4.6,6.7,5.6,10.3,NA,4,2.1
"1980-04-28",6.2,7.5,5.7,11.2,NA,4.1,3.5
"1980-04-29",12.9,7.4,9.7,9.1,NA,6.4,4.4
"1980-04-30",0.7,3,5.5,9.5,NA,0.4,-0.9
"1980-05-01",0.9,2.9,4.9,9.5,NA,0.2,-3.3
"1980-05-02",2.8,2.7,4.7,9.5,NA,3.4,-5.2
"1980-05-03",3.6,1.3,4.9,10.7,NA,-0.1,-3.3
"1980-05-04",0.5,0.1,4.1,10.8,NA,0.1,-2.8
"1980-05-05",0.5,0,4.2,9.2,NA,-0.6,1.4
"1980-05-06",1.9,5.1,5.9,9.1,NA,-1.1,3.3
"1980-05-07",1.9,4.2,5.7,9.7,NA,-0.1,1.4
"1980-05-08",4.9,5.1,6.8,10.7,NA,4.8,1.9
"1980-05-09",5,6.2,5.6,9.4,NA,3,0.9
"1980-05-10",3.2,3.9,5.6,9.9,NA,3.2,2.8
"1980-05-11",8.9,7.1,7.6,9,NA,3,2.6
