"year","month","day","Pp","Tmax","Tmin"
1980,1,1,0.4,16.2,4.9
1980,1,2,0,16.5,6.4
1980,1,3,0,15.6,2.6
1980,1,4,3.9,16.5,6.8
1980,1,5,0,18.1,7.1
1980,1,6,0,17.3,8
1980,1,7,10.5,17.4,7.2
1980,1,8,1.3,17.5,7.2
1980,1,9,0,14.1,6.2
1980,1,10,0,15.5,6.5
1980,1,11,0,16.2,6.5
1980,1,12,0,13.2,5.8
1980,1,13,0,13.7,4.5
1980,1,14,6,13.7,4.3
1980,1,15,0,15.1,4.6
1980,1,16,4.2,12.9,4.3
1980,1,17,0.3,16.1,4.9
1980,1,18,2.1,16.5,5.8
1980,1,19,4.7,13.5,4.5
1980,1,20,5.1,15,5.5
1980,1,21,1.8,17,6.7
1980,1,22,0.5,16.5,7
1980,1,23,0.4,16.9,6.5
1980,1,24,0,17.4,9
1980,1,25,7.3,16.5,8.7
1980,1,26,11,16.3,7.1
1980,1,27,12,16.2,7.8
1980,1,28,0,15.9,6.1
1980,1,29,0,16.5,7
1980,1,30,0,17.4,4.9
1980,1,31,0,17.9,4.8
1980,2,1,0,17.4,7
1980,2,2,2,13.6,8.1
1980,2,3,5.2,14.5,5.4
1980,2,4,8.4,13.6,6.2
1980,2,5,3.7,16.5,8.4
1980,2,6,5.9,15.7,6.8
1980,2,7,0,15.6,6.5
1980,2,8,0,14.7,6.2
1980,2,9,0,16.4,6.4
1980,2,10,0.1,16.4,6.1
1980,2,11,1.5,17.2,6.5
1980,2,12,0,14.7,7
1980,2,13,0,16.1,5.5
1980,2,14,0,17,6.4
1980,2,15,0,17.4,7.7
1980,2,16,14.5,15.6,4.3
1980,2,17,8.4,16.4,7
1980,2,18,7.5,15.6,3.9
1980,2,19,5.5,14.7,3.2
1980,2,20,0,13.8,5.9
1980,2,21,0,15.5,5.8
1980,2,22,0,15.6,4.9
1980,2,23,0,16.1,4.8
1980,2,24,0,15.4,4.5
1980,2,25,0,15.5,4.2
1980,2,26,0,15.6,4.3
1980,2,27,0,16.2,3.5
1980,2,28,0,16.8,6.1
1980,2,29,0,18.2,1.9
1980,3,1,0,17.2,5.9
1980,3,2,0,15.7,5.8
1980,3,3,0,14.3,5.8
1980,3,4,0.5,15.3,5.6
1980,3,5,0,12.7,5.1
1980,3,6,0,16.9,4.5
1980,3,7,1.5,18.1,3.6
1980,3,8,0,16.3,4.6
1980,3,9,0,17.4,7.5
1980,3,10,0.9,17.4,5.9
1980,3,11,0,17,7.2
1980,3,12,0,15.5,9.7
1980,3,13,10.5,18.1,8.3
1980,3,14,2.6,16.4,7.2
1980,3,15,7.2,16.4,5.9
1980,3,16,3,19.5,8.8
1980,3,17,6.2,13.7,4.8
1980,3,18,1.1,12.8,7.2
1980,3,19,6.6,13.6,7.5
1980,3,20,15,17.9,8.1
1980,3,21,2.2,15.6,7.5
1980,3,22,0.9,15.2,8.4
1980,3,23,5.5,15.4,7.5
1980,3,24,0,14.3,10.1
1980,3,25,2.2,16.3,7.7
1980,3,26,0.7,16.5,5.5
1980,3,27,0.4,16.3,7.8
1980,3,28,4,15.3,4.9
1980,3,29,0,20.5,8.1
1980,3,30,0,13.7,6.8
1980,3,31,9.5,16.3,8.4
1980,4,1,0.8,14.5,8.7
1980,4,2,0,16.2,8.8
1980,4,3,0,15.9,5.2
1980,4,4,0,15.5,4.5
1980,4,5,0,16.5,4.6
1980,4,6,0,17.4,2.6
1980,4,7,0,17.4,3
1980,4,8,0,17.1,3
1980,4,9,0,17.8,4.3
1980,4,10,0,15.5,6.4
1980,4,11,0,15.5,4.8
1980,4,12,0,18.2,6.1
1980,4,13,0,14.6,3.2
1980,4,14,0,16.2,4.1
1980,4,15,0,19.1,6.4
1980,4,16,0,17,7.8
1980,4,17,0,17.8,9
1980,4,18,2.4,18,9.3
1980,4,19,0,16.4,8.1
1980,4,20,0,16.4,9.3
1980,4,21,0,18.9,5.2
1980,4,22,0,19.8,5.2
1980,4,23,1.8,16.3,5.2
1980,4,24,3.1,15.6,4.6
1980,4,25,0,17.9,7.2
1980,4,26,0,19.2,5.2
1980,4,27,0,19.9,6.7
1980,4,28,0,17.6,7.5
1980,4,29,0,15.7,7.4
1980,4,30,0,17.6,3
1980,5,1,0,16.3,2.9
1980,5,2,0,16.9,2.7
1980,5,3,0,16.5,1.3
