"X" "Y" "Z" "Code" "Name" "pod" "ios" "ope" "snht" "rmse"
"1" -75.479 -11.783 3360 "ho00000503" "JAUJA" 2 1 1 35 1.5
"2" -76.767 -10.667 3676 "ho00000541" "OYON" 20 2 1 207 1.8
"3" -76.734 -10.917 3075 "ho00000542" "PICOY" 6 3 1 59.3 1
"4" -76.378 -11.839 2431 "ho00000548" "MATUCANA" 29 4 1 70.5 1.5
"5" -75.339 -12.034 3360 "ho00000635" "HUAYAO" 53 5 1 245.7 1.4
"6" -75.479 -11.783 3360 "ho00000503-2" "JAUJA-2" 5 1 0 34.9 1.5
"7" -75.479 -11.783 3360 "ho00000503-3" "JAUJA-3" 23 1 0 83.9 1.4
"8" -75.479 -11.783 3360 "ho00000503-4" "JAUJA-4" 2 1 0 63.7 1.4
"9" -75.479 -11.783 3360 "ho00000503-5" "JAUJA-5" 25 1 0 167.1 1.5
"10" -75.479 -11.783 3360 "ho00000503-6" "JAUJA-6" 3 1 0 13.2 1.4
"11" -75.479 -11.783 3360 "ho00000503-7" "JAUJA-7" 26 1 0 46.9 1.4
"12" -76.767 -10.667 3676 "ho00000541-2" "OYON-2" 26 2 0 204 2
"13" -76.767 -10.667 3676 "ho00000541-3" "OYON-3" 7 2 0 155.3 2.1
"14" -76.767 -10.667 3676 "ho00000541-4" "OYON-4" 7 2 0 52.7 2
"15" -76.767 -10.667 3676 "ho00000541-5" "OYON-5" 17 2 0 72.8 1.9
"16" -76.767 -10.667 3676 "ho00000541-6" "OYON-6" 7 2 0 21.3 1.7
"17" -76.734 -10.917 3075 "ho00000542-2" "PICOY-2" 23 3 0 115.8 1.7
"18" -76.734 -10.917 3075 "ho00000542-3" "PICOY-3" 17 3 0 172.4 2.1
"19" -76.734 -10.917 3075 "ho00000542-4" "PICOY-4" 5 3 0 57.8 1.7
"20" -76.734 -10.917 3075 "ho00000542-5" "PICOY-5" 8 3 0 84.6 1.5
"21" -76.734 -10.917 3075 "ho00000542-6" "PICOY-6" 25 3 0 102.3 1.5
"22" -76.734 -10.917 3075 "ho00000542-7" "PICOY-7" 1 3 0 12.1 1.2
"23" -76.378 -11.839 2431 "ho00000548-2" "MATUCANA-2" 4 4 0 92.2 1.5
"24" -76.378 -11.839 2431 "ho00000548-3" "MATUCANA-3" 47 4 0 113.9 1.5
"25" -75.339 -12.034 3360 "ho00000635-2" "HUAYAO-2" 6 5 0 22.6 1.4
"26" -75.339 -12.034 3360 "ho00000635-3" "HUAYAO-3" 35 5 0 115.7 1.7
