"X" "Y" "Z" "Code" "Name" "pod" "ios" "ope" "snht" "rmse"
"1" -75.479 -11.783 3360 "ho00000503" "JAUJA" 1 1 1 25.2 1.5
"2" -76.767 -10.667 3676 "ho00000541" "OYON" 19 2 1 272.4 1.2
"3" -76.734 -10.917 3075 "ho00000542" "PICOY" 33 3 1 109.3 1.3
"4" -76.378 -11.839 2431 "ho00000548" "MATUCANA" 4 4 1 34.3 1.2
"5" -75.339 -12.034 3360 "ho00000635" "HUAYAO" 3 5 1 34.8 1.6
"6" -75.085 -12.406 3650 "ho00000648" "PILCHACA" 45 6 1 115.5 1.4
"7" -75.479 -11.783 3360 "ho00000503-2" "JAUJA-2" 10 1 0 45.7 1.5
"8" -75.479 -11.783 3360 "ho00000503-3" "JAUJA-3" 36 1 0 84.8 1.7
"9" -75.479 -11.783 3360 "ho00000503-4" "JAUJA-4" 4 1 0 78.9 1.7
"10" -75.479 -11.783 3360 "ho00000503-5" "JAUJA-5" 16 1 0 38.8 1.4
"11" -75.479 -11.783 3360 "ho00000503-6" "JAUJA-6" 15 1 0 27.4 1.6
"12" -76.767 -10.667 3676 "ho00000541-2" "OYON-2" 30 2 0 61.9 1.2
"13" -76.767 -10.667 3676 "ho00000541-3" "OYON-3" 3 2 0 114.3 1.2
"14" -76.767 -10.667 3676 "ho00000541-4" "OYON-4" 33 2 0 83.8 1.4
"15" -76.734 -10.917 3075 "ho00000542-2" "PICOY-2" 9 3 0 17.5 1.2
"16" -76.734 -10.917 3075 "ho00000542-3" "PICOY-3" 1 3 0 21.4 2.6
"17" -76.734 -10.917 3075 "ho00000542-4" "PICOY-4" 14 3 0 94.9 1.3
"18" -76.734 -10.917 3075 "ho00000542-5" "PICOY-5" 32 3 0 95.6 1.5
"19" -76.378 -11.839 2431 "ho00000548-2" "MATUCANA-2" 40 4 0 41.5 1.3
"20" -76.378 -11.839 2431 "ho00000548-3" "MATUCANA-3" 4 4 0 43.4 1.3
"21" -76.378 -11.839 2431 "ho00000548-4" "MATUCANA-4" 31 4 0 130.5 1.2
"22" -76.378 -11.839 2431 "ho00000548-5" "MATUCANA-5" 9 4 0 85.4 0.9
"23" -75.339 -12.034 3360 "ho00000635-2" "HUAYAO-2" 26 5 0 40.2 1.8
"24" -75.339 -12.034 3360 "ho00000635-3" "HUAYAO-3" 9 5 0 21.9 2
"25" -75.339 -12.034 3360 "ho00000635-4" "HUAYAO-4" 48 5 0 165.9 1.6
"26" -75.339 -12.034 3360 "ho00000635-5" "HUAYAO-5" 6 5 0 14.4 1.6
"27" -75.085 -12.406 3650 "ho00000648-2" "PILCHACA-2" 5 6 0 101.7 1.3
"28" -75.085 -12.406 3650 "ho00000648-3" "PILCHACA-3" 11 6 0 156.6 1.1
"29" -75.085 -12.406 3650 "ho00000648-4" "PILCHACA-4" 5 6 0 144.9 1.2
"30" -75.085 -12.406 3650 "ho00000648-5" "PILCHACA-5" 23 6 0 119.7 1.3
